frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,5.0,[2195.68017578125 1157.04931640625 2786.025390625 1736.6319580078125],[2407.138427734375 1551.4912109375 2576.461181640625 1638.7041015625],0.6013631224632263,NW51TSU,0.08982967468765359
0,3.0,[752.2139282226562 1369.312255859375 1429.306396484375 1984.0484619140625],[974.8357543945312 1753.404052734375 1199.599609375 1851.19189453125],0.5669244527816772,NA13NPU,0.3183228863255629
2,3.0,[750.6696020927316 1379.5527235420802 1431.8735394667933 2000.561348712856],[963.9208374023438 1782.314697265625 1187.060546875 1872.455078125],0.4821714758872986,NA13NPU,0.19815016738667182
2,5.0,[2197.5955031506055 1172.2419637313953 2786.3039256186103 1750.1345941683032],[2410.0546875 1563.0362548828125 2585.463134765625 1653.6053466796875],0.4437576234340668,NU51VSU,0.39629497821630644
3,3.0,[743.0389125195543 1386.442388265329 1430.0114325719946 2011.7429606670112],[956.32080078125 1785.892578125 1184.32958984375 1879.593994140625],0.4998030364513397,MA13NRU,0.1720539950860672
4,5.0,[2190.988987595911 1176.174192688811 2790.610682042087 1763.822754025082],[2416.611083984375 1575.3431396484375 2587.66162109375 1654.0462646484375],0.5713343024253845,HL51NSU,0.17151300032255717
6,3.0,[728.0337989467187 1403.8347570983424 1424.2459439326083 2040.4385412973684],[942.6278076171875 1802.425537109375 1184.5889892578125 1902.52490234375],0.4928336441516876,NA13NRU,0.15766181911210866
8,3.0,[719.3434337794642 1413.5826503257222 1421.7869513196679 2058.188472913596],[954.4998779296875 1824.6705322265625 1172.0086669921875 1918.4849853515625],0.5394649505615234,NA13NRU,0.432431818415117
9,5.0,[2196.445651250399 1192.9140247475596 2827.622870894484 1794.7373808726704],[2420.9755859375 1596.5341796875 2593.8125 1690.5185546875],0.6364391446113586,ML51VSU,0.4193155158458915
9,3.0,[710.6084027838698 1419.0848789175777 1416.7057125361225 2066.5472569137],[935.3765258789062 1832.4049072265625 1177.88623046875 1928.1416015625],0.5784577131271362,NA13NRU,0.603201846550949
11,5.0,[2193.299450532258 1199.0992707274052 2818.7501883162354 1804.0907016370272],[2418.03173828125 1608.80859375 2596.042236328125 1700.7158203125],0.5458311438560486,ML11VSU,0.11017371399180553
11,3.0,[698.1074057087212 1430.8680751793877 1408.5370412081325 2082.0219531010634],[917.34228515625 1840.0242919921875 1168.3883056640625 1944.0260009765625],0.5050681233406067,NA13NRU,0.2696234776932613
12,3.0,[693.6689277680473 1439.9992668565349 1407.0169304577064 2092.1356846300973],[925.7425537109375 1853.29833984375 1158.468505859375 1958.682861328125],0.4612720012664795,MA13NRU,0.5853602916797761
13,3.0,[691.5625149225134 1442.5360009127935 1406.7010714788062 2097.0175138050454],[925.9464111328125 1860.3262939453125 1170.8045654296875 1966.883056640625],0.5571578741073608,MA13NRU,0.15545964915855506
14,3.0,[688.0376380499793 1449.7046161199883 1402.9590528797985 2104.7440989547986],[905.5786743164062 1874.880615234375 1173.865966796875 1974.226318359375],0.35590672492980957,NA13NRU,0.24659299979876745
17,5.0,[2201.059434684525 1231.6790670413684 2821.931872028105 1843.7584555114604],[2430.722900390625 1641.2406005859375 2614.875 1736.0731201171875],0.6575100421905518,HD51VSU,0.20395297677060018
18,3.0,[671.237128810194 1482.4174503336735 1393.9471932373353 2136.6765973388983],[903.7427978515625 1901.384765625 1157.5262451171875 2006.748046875],0.5728074908256531,NA13NRU,0.7944056153888016
19,3.0,[669.5854467138054 1491.0206787674538 1394.0744269046525 2143.532367050114],[917.968505859375 1911.15673828125 1148.37255859375 2009.7374267578125],0.6390044689178467,NA13NRU,0.33689009962352606
21,5.0,[2204.643460165761 1252.4664540656167 2842.488057372755 1872.0854396893133],[2435.102294921875 1681.0770263671875 2619.67138671875 1763.31884765625],0.645879328250885,CD51VSU,0.21807175106851667
21,3.0,[660.3425026648214 1506.170850411262 1388.3615914267634 2153.348233718692],[884.35107421875 1924.3564453125 1152.848876953125 2037.995361328125],0.6199504733085632,NA13NRU,0.3043338301162374
22,3.0,[656.088501357682 1510.2364043308523 1385.6248282003517 2155.1254411823597],[872.0322875976562 1923.384521484375 1137.369384765625 2037.88916015625],0.6461216807365417,NA13NRU,0.34310404133566685
23,3.0,[652.4759519208028 1515.671505898233 1383.4698914725102 2156.1545359789534],[910.2145385742188 1941.6591796875 1144.8203125 2045.091064453125],0.6566089987754822,NA13MRU,0.6832875361903469
24,3.0,[649.9763169074895 1520.5254497798876 1381.850671960827 2156.1910338365706],[871.8385620117188 1951.196044921875 1131.603515625 2066.6826171875],0.629777729511261,NA13NRU,0.513745580321555
25,5.0,[2208.017941439626 1266.8728185900927 2858.549040407429 1898.7629335495858],[2440.6376953125 1698.0546875 2624.806640625 1788.914306640625],0.6886107325553894,MT51VSU,0.2825874866557496
27,3.0,[643.0804268219022 1540.4678616663518 1381.0041944918444 2157.0264743614475],[855.1962890625 1977.865966796875 1129.2432861328125 2092.04345703125],0.6642910838127136,NA13NRU,0.1603400552096399
28,3.0,[639.9584489204785 1546.565571935117 1378.9821461382662 2156.8731637829883],[873.2217407226562 1982.525390625 1116.490234375 2092.09423828125],0.6683342456817627,MA13MRU,0.19371081782935934
28,5.0,[2206.4107879983685 1268.2343808700452 2860.920037678281 1917.2113004001963],[2448.481201171875 1726.82080078125 2626.799560546875 1804.22314453125],0.6439898610115051,CD35ISV,0.1095807067133361
31,5.0,[2209.5157427565086 1289.9486003688492 2866.1863124861898 1947.2084138605621],[2445.10546875 1741.832763671875 2633.77001953125 1832.10888671875],0.6631708741188049,CZ51VSU,0.14530158797403492
33,3.0,[622.1022079723024 1584.949060349244 1364.8301576595313 2156.1614894728127],[851.9326171875 2040.1622314453125 1122.056396484375 2151.59228515625],0.6496322751045227,NA13NRU,0.5201453048178521
43,6.0,[1133.7612197292929 1143.9755116217175 1714.4845956107679 1600.1567190306423],[1354.1923828125 1420.5322265625 1513.2813720703125 1506.333251953125],0.2555857300758362,GX15OGJ,0.29083173473702534
44,5.0,[2222.0641771161695 1372.2668180206642 2902.6155285606087 2052.826803417169],[2472.37890625 1836.033203125 2665.0087890625 1930.838134765625],0.6747446656227112,NU51VSU,0.07504319826553922
49,5.0,[2225.5266785971435 1397.11719993484 2926.0014571462134 2088.9059354888423],[2478.65576171875 1876.3524169921875 2673.87744140625 1965.5372314453125],0.6968819499015808,IW51YSU,0.011962278899923144
55,5.0,[2236.75045666272 1437.8567428114688 2951.2692469176195 2135.787080181929],[2490.76416015625 1924.786376953125 2691.08447265625 2013.0380859375],0.6813572645187378,CI51WSU,0.02028670218902986
58,6.0,[1091.4208119530597 1199.0923498013967 1707.950636036058 1684.7630214153633],[1318.2481689453125 1498.404052734375 1485.2608642578125 1570.48974609375],0.29097771644592285,GX15OGJ,0.12536224666762302
59,5.0,[2241.611340821614 1458.0155232545915 2957.1739951653585 2149.4493853477793],[2497.289306640625 1959.7628173828125 2710.31005859375 2050.332275390625],0.707497239112854,MT51VSU,0.10955195418883855
64,6.0,[1077.5881582715563 1230.3641121594349 1696.3041012020533 1717.0545065004492],[1307.212646484375 1526.3565673828125 1475.3118896484375 1606.3443603515625],0.2883470356464386,GX15OGJ,0.46980714124406314
80,6.0,[1029.3994843729242 1297.0350699016399 1682.849988939775 1810.6454233187037],[1261.739990234375 1626.8251953125 1430.350830078125 1704.8564453125],0.5551198720932007,GX15OGJ,0.4189231928959656
90,6.0,[994.415398252489 1348.5562169280693 1686.6832276844366 1885.6023981630601],[1229.110107421875 1685.361083984375 1427.8165283203125 1772.966552734375],0.5686684250831604,GX15OGJ,0.2390749857224856
92,6.0,[985.5024918943661 1361.269922073837 1685.6881675424536 1901.1566002054794],[1224.45947265625 1692.90966796875 1398.923095703125 1781.025146484375],0.4856201410293579,GX15OGJ,0.27480623931839304
93,6.0,[979.0731583490028 1366.168702730603 1685.307112855411 1907.3951243969186],[1227.2774658203125 1701.41259765625 1435.8681640625 1794.305908203125],0.5092757940292358,GX15OGJ,0.4111460579407558
96,6.0,[969.2307262110737 1379.2354970235156 1683.280657538797 1929.070879211537],[1217.3697509765625 1728.62841796875 1433.41943359375 1813.4520263671875],0.546812117099762,GX15OGJ,0.44896948977536016
98,6.0,[961.8554013400985 1391.3427159747573 1681.1485118093042 1946.373911451971],[1220.8060302734375 1741.981689453125 1421.327392578125 1827.442138671875],0.638999879360199,GX15OCJ,0.25465912991651113
99,6.0,[957.1099826884006 1399.1513577463945 1679.4339308923868 1957.73619520014],[1207.914794921875 1751.7213134765625 1425.743896484375 1838.0093994140625],0.4428790807723999,GX15OCJ,0.35060669011998463
100,6.0,[955.2608643422252 1406.4126378506085 1676.835388801653 1964.211030599874],[1198.587158203125 1746.281982421875 1422.23583984375 1836.5302734375],0.5682815313339233,GX15OCJ,0.6223615455921967
102,6.0,[946.8543224846593 1418.1360391234396 1675.0001835733374 1980.5132909431306],[1209.3094482421875 1773.0977783203125 1410.6690673828125 1856.2056884765625],0.5975244045257568,GX15OCJ,0.3625209610278963
103,6.0,[946.1561665072165 1424.6846783178064 1673.7440990951516 1988.686203195862],[1209.9384765625 1785.591796875 1409.098876953125 1857.3046875],0.43076246976852417,GY15OGJ,0.18845829095319636
104,1.0,[2054.025243335366 1107.4876033985063 2558.5402379675916 1550.0300671721996],[2224.28173828125 1371.1563720703125 2428.88525390625 1464.13623046875],0.41535821557044983,AP05JEQ,0.2831762034088433
110,1.0,[2055.057039378997 1126.7038308239783 2564.144322011411 1573.1332626228843],[2225.05517578125 1400.100341796875 2424.599853515625 1486.224365234375],0.4535565972328186,AP05JEO,0.11909241351716698
113,6.0,[919.8487378910793 1491.0334690013171 1658.6895336023633 2075.3472859394815],[1168.127197265625 1861.57861328125 1384.998046875 1944.353271484375],0.47543907165527344,GX15OCJ,0.550584836624351
115,1.0,[2053.8977321500092 1140.2343993392221 2577.37616819605 1591.514309854181],[2223.23583984375 1426.1832275390625 2428.201171875 1512.703857421875],0.3855915367603302,AF05JEO,0.3035496084021035
116,1.0,[2054.9894833256494 1142.120975848425 2580.685228805507 1595.9685046678835],[2224.955322265625 1425.0340576171875 2433.660888671875 1511.080078125],0.43895217776298523,AF05JEO,0.20625878096020397
118,8.0,[1146.2703113173188 1074.532496405393 1620.6136571746993 1488.5423699106905],[1300.2012939453125 1306.19580078125 1459.9512939453125 1387.908935546875],0.2953855097293854,KH05ZTK,0.19354229136744278
121,6.0,[876.7923443181936 1542.7036267237108 1648.4437987799706 2130.756316009858],[1143.736328125 1920.30517578125 1376.884765625 2014.434326171875],0.6111723184585571,GY15OCJ,0.4736590733007501
121,1.0,[2051.027330383263 1162.9228995889257 2587.868878267076 1625.2962527957916],[2219.5244140625 1444.1788330078125 2435.157470703125 1534.49560546875],0.3581973910331726,AF05JEO,0.4560052991986346
122,6.0,[872.7546031007945 1551.2472155770631 1647.4642884018976 2140.363462035747],[1139.357421875 1932.1124267578125 1363.520263671875 2021.3514404296875],0.590452253818512,GY15OCJ,0.4806709760780545
122,1.0,[2051.0155909870136 1166.5921130697761 2590.0345756727847 1631.2107321155127],[2216.29150390625 1448.726806640625 2431.115234375 1536.440185546875],0.4422770142555237,AP05JEQ,0.3528253409206722
123,6.0,[868.0027089280683 1558.4851474435313 1646.1885834336372 2147.24295340466],[1126.1781005859375 1939.98828125 1332.188720703125 2027.418701171875],0.487741082906723,GX15OGJ,0.3434879697626368
123,1.0,[2046.0628312360946 1172.1895280737428 2589.37632520967 1637.2240299083776],[2236.782470703125 1466.767578125 2438.513427734375 1556.249755859375],0.3276304006576538,AF05JEO,0.207552346223976
124,6.0,[865.0535135512841 1563.0950907506535 1645.1810704738427 2150.5967028189543],[1135.656494140625 1946.750732421875 1345.3023681640625 2036.55810546875],0.5042361617088318,GY15UGJ,0.295183940030635
124,1.0,[2042.882205448705 1175.7833739494258 2589.8207463570448 1641.3477777661178],[2229.05712890625 1463.0870361328125 2431.675048828125 1549.9947509765625],0.3347505033016205,AF05JEQ,0.11927855259214763
125,6.0,[862.8777768996249 1570.1052991476136 1645.6338632772647 2153.7668614900085],[1138.798828125 1959.6060791015625 1350.710205078125 2052.62890625],0.6256536841392517,GY15OGJ,0.41382839572771435
126,6.0,[857.1335241174552 1581.0037905140084 1644.8515593854904 2156.9827472888483],[1125.6273193359375 1972.3603515625 1339.426025390625 2070.006103515625],0.6520657539367676,GY15OGJ,0.21146590315097277
126,1.0,[2048.20808220491 1186.3126103258858 2594.8316034803 1652.210586156404],[2222.48974609375 1467.27294921875 2447.348876953125 1559.208740234375],0.3261978328227997,AP05JEO,0.302629919697537
127,6.0,[851.6799100763603 1588.0274789431114 1642.7031524174506 2157.1206153176245],[1122.700927734375 1979.662841796875 1340.1895751953125 2071.945556640625],0.6181768774986267,GY15OGJ,0.6411969181389596
128,6.0,[846.3029203371605 1595.8054509575175 1641.5530308700552 2157.2294101857706],[1107.686279296875 1982.210693359375 1334.524658203125 2079.62744140625],0.6023560762405396,GX15OGJ,0.3380698453786576
129,6.0,[839.8143914537102 1601.5294481531437 1639.1263296871437 2155.4470848995857],[1113.37109375 1996.6673583984375 1339.956787109375 2089.74267578125],0.6070364117622375,GX15OGJ,0.4191968518460819
130,6.0,[834.3938795981294 1609.239526614136 1638.7897753325633 2155.572953418313],[1118.23876953125 2012.2119140625 1321.79248046875 2098.73291015625],0.6543006300926208,GY15OGJ,0.3568713891555267
130,33.0,[2244.1354775274153 1623.0813488882134 2978.92491569216 2152.378511882743],[2513.132568359375 1986.6822509765625 2728.451171875 2086.21826171875],0.5022556781768799,LM13VCV,0.5208155294024851
131,33.0,[2244.2613389552344 1629.8108750488263 2983.376846952131 2151.693330245007],[2505.3271484375 1998.4310302734375 2729.99072265625 2094.27001953125],0.4094211459159851,LM13VCV,0.5111009881111708
132,33.0,[2244.48617538749 1637.291563889108 2984.7277603670573 2151.6226236613475],[2508.828369140625 2012.685791015625 2736.374267578125 2108.896728515625],0.672305703163147,LN13VCV,0.12821021254009743
132,1.0,[2045.4926154960638 1206.1426262038954 2600.697006856695 1680.9326536082608],[2226.867431640625 1491.968994140625 2449.0087890625 1582.5157470703125],0.4473867118358612,AP05JEO,0.20784500303969344
133,33.0,[2244.0413786666873 1643.6138242163838 2985.382739794952 2152.2549181225418],[2515.2958984375 2009.2672119140625 2742.932861328125 2114.5859375],0.6526903510093689,LA13VCV,0.32402353570585923
133,1.0,[2045.1571867807686 1209.097992368935 2603.5562529208837 1683.713898144819],[2231.43359375 1499.7454833984375 2422.33935546875 1583.955322265625],0.3593307435512543,AP05JEO,0.36762566754358245
134,33.0,[2242.3567741867328 1651.7085178166694 2986.262017568094 2156.002981086458],[2510.44580078125 2017.584228515625 2737.931640625 2124.93408203125],0.6312740445137024,LM13VCV,0.47509914820744525
135,6.0,[815.0231344315221 1647.156828457776 1619.9037289724715 2162.915294064482],[1082.21435546875 2056.57421875 1328.364501953125 2157.3115234375],0.6707852482795715,CX15OGJ,0.23329103798216522
