frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
104,1,2054.025243335366 1107.4876033985063 2558.5402379675916 1550.0300671721996,2224.28173828125 1371.1563720703125 2428.88525390625 1464.13623046875,0.41535821557044983,AP05JEQ,0.2831762034088433
105,1,2054.197209342638 1110.6903079694182 2559.4742519748947 1553.8805997473137,2224.41064453125 1375.9803670247395 2428.1710205078125 1467.8175862630208,0,0,0
106,1,2054.3691753499097 1113.8930125403303 2560.408265982198 1557.7311323224278,2224.53955078125 1380.8043619791667 2427.456787109375 1471.4989420572917,0,0,0
107,1,2054.541141357182 1117.0957171112423 2561.3422799895015 1561.581664897542,2224.66845703125 1385.6283569335938 2426.7425537109375 1475.1802978515625,0,0,0
108,1,2054.7131073644537 1120.2984216821542 2562.2762939968047 1565.432197472656,2224.79736328125 1390.4523518880208 2426.0283203125 1478.8616536458333,0,0,0
109,1,2054.8850733717254 1123.5011262530663 2563.210308004108 1569.2827300477702,2224.92626953125 1395.276346842448 2425.3140869140625 1482.5430094401042,0,0,0
110,1,2055.057039378997 1126.7038308239783 2564.144322011411 1573.1332626228843,2225.05517578125 1400.100341796875 2424.599853515625 1486.224365234375,0.4535565972328186,AP05JEO,0.11909241351716698
111,1,2054.8251779331995 1129.409944527027 2566.790691248339 1576.8094720691436,2224.69130859375 1405.3169189453124 2425.3201171875 1491.520263671875,0,0,0
112,1,2054.593316487402 1132.1160582300759 2569.4370604852666 1580.485681515403,2224.32744140625 1410.53349609375 2426.040380859375 1496.816162109375,0,0,0
113,1,2054.3614550416046 1134.8221719331245 2572.0834297221945 1584.1618909616623,2223.96357421875 1415.7500732421875 2426.76064453125 1502.112060546875,0,0,0
114,1,2054.129593595807 1137.5282856361735 2574.729798959122 1587.8381004079217,2223.59970703125 1420.966650390625 2427.480908203125 1507.407958984375,0,0,0
115,1,2053.8977321500092 1140.2343993392221 2577.37616819605 1591.514309854181,2223.23583984375 1426.1832275390625 2428.201171875 1512.703857421875,0.3855915367603302,AF05JEO,0.3035496084021035
116,1,2054.9894833256494 1142.120975848425 2580.685228805507 1595.9685046678835,2224.955322265625 1425.0340576171875 2433.660888671875 1511.080078125,0.43895217776298523,AF05JEO,0.20625878096020397
117,1,2054.1970527371723 1146.281360596525 2582.121958697821 1601.8340542934652,2223.869140625 1428.8630126953126 2433.960205078125 1515.76318359375,0,0,0
118,1,2053.4046221486947 1150.4417453446251 2583.558688590135 1607.6996039190467,2222.782958984375 1432.6919677734375 2434.259521484375 1520.4462890625,0,0,0
119,1,2052.6121915602175 1154.6021300927255 2584.9954184824483 1613.5651535446284,2221.69677734375 1436.5209228515625 2434.558837890625 1525.12939453125,0,0,0
120,1,2051.81976097174 1158.7625148408256 2586.432148374762 1619.4307031702099,2220.610595703125 1440.3498779296874 2434.858154296875 1529.8125,0,0,0
121,1,2051.027330383263 1162.9228995889257 2587.868878267076 1625.2962527957916,2219.5244140625 1444.1788330078125 2435.157470703125 1534.49560546875,0.3581973910331726,AF05JEO,0.4560052991986346
122,1,2051.0155909870136 1166.5921130697761 2590.0345756727847 1631.2107321155127,2216.29150390625 1448.726806640625 2431.115234375 1536.440185546875,0.4422770142555237,AP05JEQ,0.3528253409206722
123,1,2046.0628312360946 1172.1895280737428 2589.37632520967 1637.2240299083776,2236.782470703125 1466.767578125 2438.513427734375 1556.249755859375,0.3276304006576538,AF05JEO,0.207552346223976
124,1,2042.882205448705 1175.7833739494258 2589.8207463570448 1641.3477777661178,2229.05712890625 1463.0870361328125 2431.675048828125 1549.9947509765625,0.3347505033016205,AF05JEQ,0.11927855259214763
125,1,2045.5451438268076 1181.047992137656 2592.326174918672 1646.7791819612607,2225.7734375 1465.1799926757812 2439.511962890625 1554.6017456054688,0,0,0
126,1,2048.20808220491 1186.3126103258858 2594.8316034803 1652.210586156404,2222.48974609375 1467.27294921875 2447.348876953125 1559.208740234375,0.3261978328227997,AP05JEO,0.302629919697537
127,1,2047.7555044201024 1189.6176129722207 2595.809170709699 1656.99759739838,2223.2193603515625 1471.3889567057292 2447.625528971354 1563.093241373698,0,0,0
128,1,2047.3029266352946 1192.9226156185557 2596.7867379390987 1661.7846086403563,2223.948974609375 1475.5049641927083 2447.9021809895835 1566.9777425130208,0,0,0
129,1,2046.850348850487 1196.2276182648907 2597.7643051684977 1666.5716198823325,2224.6785888671875 1479.6209716796875 2448.1788330078125 1570.8622436523438,0,0,0
130,1,2046.3977710656793 1199.5326209112254 2598.7418723978967 1671.3586311243084,2225.408203125 1483.7369791666667 2448.4554850260415 1574.7467447916667,0,0,0
131,1,2045.9451932808715 1202.8376235575604 2599.719439627296 1676.1456423662846,2226.1378173828125 1487.8529866536458 2448.732137044271 1578.6312459309895,0,0,0
132,1,2045.4926154960638 1206.1426262038954 2600.697006856695 1680.9326536082608,2226.867431640625 1491.968994140625 2449.0087890625 1582.5157470703125,0.4473867118358612,AP05JEO,0.20784500303969344
133,1,2045.1571867807686 1209.097992368935 2603.5562529208837 1683.713898144819,2231.43359375 1499.7454833984375 2422.33935546875 1583.955322265625,0.3593307435512543,AP05JEO,0.36762566754358245
134,1,2043.9016538080696 1212.1298154455098 2605.005429653477 1687.3653758823073,2248.3203125 1504.7200927734375 2444.192138671875 1591.0697021484375,0,0,0
135,1,2042.6461208353708 1215.1616385220848 2606.454606386071 1691.0168536197955,2265.20703125 1509.6947021484375 2466.044921875 1598.18408203125,0.44483256340026855,AP05JEO,0.2297315141606092
136,1,2042.4177831507172 1218.4111614688306 2609.840463403489 1694.9926018698263,2238.4482421875 1506.873046875 2446.667724609375 1599.49658203125,0.4865909516811371,AP05JEO,0.32128323862989516
137,1,2042.1413099802037 1222.8590012984987 2613.348063266895 1700.809724144527,2249.017578125 1517.0277099609375 2465.5068359375 1615.1341552734375,0.6344544291496277,AP05JEO,0.7424673987816071
138,1,2045.375274543897 1228.3098132582022 2617.284705021806 1706.941131425193,2236.753173828125 1527.47021484375 2464.712646484375 1607.829345703125,0.5860787034034729,AP05JEO,0.3125459696531983
139,1,2048.6660248859375 1231.3830240811897 2620.361402018862 1710.2110363137656,2240.569091796875 1526.0555419921875 2446.42919921875 1604.7235107421875,0.5471788644790649,AP05JEO,0.18820199187187064
140,1,2051.0010995128405 1233.2509144380087 2624.5282692906876 1716.0379106022056,2270.17919921875 1536.0618896484375 2460.60302734375 1609.4447021484375,0.33430594205856323,AP05JEQ,0.13779277578731286
141,1,2050.5131628664894 1237.7481590921864 2626.092437521268 1724.1578731173038,2257.076171875 1535.60595703125 2458.99169921875 1621.219482421875,0.2646508514881134,AP05JEO,0.24083843400529584
142,1,2050.692939245662 1239.887641479541 2628.533606863852 1729.6234190986202,2261.924072265625 1539.977294921875 2468.4013671875 1624.303466796875,0.3388289511203766,AP05JEO,0.1518136048275654
143,1,2045.549689156006 1242.9244848982194 2627.97394858601 1736.2954894878299,2240.93994140625 1537.928466796875 2454.860595703125 1624.91455078125,0.5332434177398682,AP05JEO,0.2587012799852486
144,1,2046.7961357148713 1247.791622407422 2633.0189960410366 1744.554704904046,2245.658203125 1549.521728515625 2440.534423828125 1633.90966796875,0.4773052930831909,AP05JEO,0.24522379327766725
145,1,2047.9525494001596 1251.9972930256165 2636.193872733427 1750.2426977260782,2268.879150390625 1555.7889404296875 2470.945556640625 1644.1702880859375,0.4072182774543762,AP05JEO,0.20351142693665705
146,1,2048.305791460004 1256.8083370434956 2638.43149297491 1757.3871514070465,2239.414306640625 1560.8360595703125 2426.045654296875 1643.9014892578125,0.33266204595565796,AP05JEO,0.1689452754067021
147,1,2048.580666692683 1260.7089577465094 2640.2138465358084 1764.1144716481745,2256.1787109375 1573.5054931640625 2470.367431640625 1656.5299072265625,0.5099781155586243,AP05JEO,0.3062411246106741
148,1,2045.9485450190514 1264.0765232798922 2640.7766445700436 1769.3009050694895,2246.5439453125 1573.7720947265625 2458.81298828125 1652.9468994140625,0.48784807324409485,AP05JEO,0.59494865217524
149,1,2049.919705321524 1268.495304146666 2646.9690635675333 1776.5864911306562,2260.1298828125 1584.1611328125 2433.39892578125 1662.08642578125,0.4058159291744232,AP05JEC,0.18195511469985165
150,1,2054.0793805362164 1273.5406691855032 2655.7936093107883 1785.0068718954562,2269.04833984375 1586.16357421875 2449.69384765625 1659.763916015625,0.3646538257598877,AP05JEO,0.3222713771520474
151,1,2055.9586088500387 1275.8436773281883 2660.409467848615 1789.729949387097,2248.826171875 1582.4033203125 2479.0830078125 1666.0078125,0.3686562478542328,AP05JEO,0.1983446356139195
152,1,2050.5327940381235 1280.3008582280572 2658.10438199779 1794.1545997967246,2250.86572265625 1588.0821533203125 2462.9443359375 1671.7701416015625,0.5338009595870972,AP05JEO,0.6084367094257221
153,1,2045.342446030395 1284.7870645557878 2657.109949555832 1800.5751900107016,2253.0107421875 1590.674560546875 2475.64501953125 1688.899658203125,0.39906996488571167,AP05JEO,0.31836371510733796
154,1,2045.0925485176897 1286.274554670974 2662.730416207349 1803.7315729800182,2266.928466796875 1600.687744140625 2492.677734375 1699.78076171875,0.40660351514816284,AP05JEO,0.2649940838899023
155,1,2049.2275355837382 1293.5430646044592 2668.0225192830717 1811.8995046299851,2271.92333984375 1607.2373046875 2494.66796875 1700.6265869140625,0,0,0
156,1,2053.3625226497866 1300.8115745379446 2673.314622358794 1820.0674362799523,2276.918212890625 1613.786865234375 2496.658203125 1701.472412109375,0.4338568449020386,AP05JEO,0.3860121812327703
157,1,2046.9272012674464 1302.5507048276086 2668.5603679216156 1823.0892024357172,2266.89208984375 1618.477294921875 2495.37939453125 1699.880126953125,0.4962671399116516,AP05JEO,0.33460324757332355
158,1,2047.1840839483195 1306.488705445896 2669.516400501788 1827.7793977670926,2284.7880859375 1632.297119140625 2501.59814453125 1706.653076171875,0.3239477276802063,AP05JEO,0.17925231428478736
159,1,2046.4274547618497 1310.9878468452275 2670.8303084339723 1834.1112312513633,2284.49951171875 1639.0411376953125 2476.00146484375 1709.4415283203125,0.32345929741859436,AP05JEO,0.2946504870904476
160,1,2050.844956587519 1315.3243316812361 2672.1477360169265 1839.4255260457085,2282.70068359375 1638.1213989257812 2499.55029296875 1716.1880493164062,0,0,0
161,1,2055.2624584131886 1319.6608165172447 2673.4651635998803 1844.7398208400537,2280.90185546875 1637.20166015625 2523.09912109375 1722.9345703125,0.302915096282959,AP05JEO,0.44269846044410877
162,1,2051.9311597877972 1325.0984300716289 2674.598493487441 1853.3047621681915,2275.7294921875 1651.5091552734375 2456.11181640625 1732.8585205078125,0.27412739396095276,AP05JEO,0.27470980364610365
163,1,2055.1669075718173 1329.0024606708723 2678.669122924457 1859.021621689232,2269.33837890625 1650.484130859375 2487.99853515625 1741.46044921875,0.36252787709236145,AP05JEO,0.4322359561728725
164,1,2060.7242285662523 1333.015004499842 2683.01640885259 1866.0053648948108,2278.4248046875 1660.6959228515625 2492.3974609375 1752.1904296875,0.5315104722976685,AP05JEO,0.13666319182647305
165,1,2067.87256635638 1338.0004132534564 2686.757332073945 1874.8832339070946,2275.887939453125 1667.85888671875 2517.158447265625 1751.541259765625,0.5416929721832275,AP05JEO,0.264095230949764
166,1,2066.1314663879734 1343.237197069946 2684.2786262235327 1881.6473597175286,2283.1162109375 1678.8665771484375 2468.64306640625 1753.3304443359375,0.34318220615386963,AP05JEO,0.27781027060093494
167,1,2063.0580968970235 1349.3617449005835 2684.466174754135 1889.0980446763303,2300.96044921875 1678.34326171875 2522.523193359375 1760.8974609375,0.3347225487232208,AP05JEO,0.3991800891418837
168,1,2068.6837841636716 1353.0605866322592 2688.6988221664533 1893.1547979436073,2295.6609700520835 1685.2609049479167 2516.3819986979165 1769.3887532552083,0,0,0
169,1,2074.3094714303197 1356.7594283639348 2692.9314695787716 1897.211551210884,2290.3614908854165 1692.1785481770833 2510.2408040364585 1777.8800455729167,0,0,0
170,1,2079.935158696968 1360.4582700956105 2697.16411699109 1901.2683044781609,2285.06201171875 1699.09619140625 2504.099609375 1786.371337890625,0.5127916932106018,AP05JEO,0.23799269916350735
171,1,2078.2092411758495 1367.0279944090603 2697.8136335240733 1908.4375629399042,2289.970458984375 1702.8729248046875 2518.98828125 1794.092529296875,0,0,0
172,1,2076.483323654731 1373.5977187225103 2698.4631500570567 1915.6068214016477,2294.87890625 1706.649658203125 2533.876953125 1801.813720703125,0.5689781308174133,AP05JEO,0.3849277631982701
173,1,2080.86188535564 1379.092356949834 2703.9490392445596 1923.1140475694365,2300.154296875 1718.08935546875 2529.587890625 1808.093505859375,0.5007414817810059,AP05JEO,0.11601741718743962
